Variant Name,Size,Orientation,Thickness,Product UID,Unified Format,Thickness UID,Shopify Option 1,Shopify Option 1 Value,Shopify Option 2,Shopify Option 2 Value,Shopify Option 3,Shopify Option 3 Value
16x20 in - Landscape - Slim,16x20 in,Landscape,Slim,canvas_16x20-inch-400x500-mm_canvas_wood-fsc-slim_4-0_hor,16x20-inch-400x500-mm,wood-fsc-slim,Size,16x20 in,Orientation,Landscape,Thickness,Slim
16x20 in - Landscape - Thick,16x20 in,Landscape,Thick,canvas_16x20-inch-400x500-mm_canvas_wood-fsc-thick_4-0_hor,16x20-inch-400x500-mm,wood-fsc-thick,Size,16x20 in,Orientation,Landscape,Thickness,Thick
16x20 in - Portrait - Slim,16x20 in,Portrait,Slim,canvas_16x20-inch-400x500-mm_canvas_wood-fsc-slim_4-0_ver,16x20-inch-400x500-mm,wood-fsc-slim,Size,16x20 in,Orientation,Portrait,Thickness,Slim
16x20 in - Portrait - Thick,16x20 in,Portrait,Thick,canvas_16x20-inch-400x500-mm_canvas_wood-fsc-thick_4-0_ver,16x20-inch-400x500-mm,wood-fsc-thick,Size,16x20 in,Orientation,Portrait,Thickness,Thick
20x20 in - Landscape - Slim,20x20 in,Landscape,Slim,canvas_20x20-inch-500x500-mm_canvas_wood-fsc-slim_4-0_hor,20x20-inch-500x500-mm,wood-fsc-slim,Size,20x20 in,Orientation,Landscape,Thickness,Slim
20x20 in - Landscape - Thick,20x20 in,Landscape,Thick,canvas_20x20-inch-500x500-mm_canvas_wood-fsc-thick_4-0_hor,20x20-inch-500x500-mm,wood-fsc-thick,Size,20x20 in,Orientation,Landscape,Thickness,Thick
18x24 in - Landscape - Slim,18x24 in,Landscape,Slim,canvas_18x24-inch-450x600-mm_canvas_wood-fsc-slim_4-0_hor,18x24-inch-450x600-mm,wood-fsc-slim,Size,18x24 in,Orientation,Landscape,Thickness,Slim
18x24 in - Landscape - Thick,18x24 in,Landscape,Thick,canvas_18x24-inch-450x600-mm_canvas_wood-fsc-thick_4-0_hor,18x24-inch-450x600-mm,wood-fsc-thick,Size,18x24 in,Orientation,Landscape,Thickness,Thick
18x24 in - Portrait - Slim,18x24 in,Portrait,Slim,canvas_18x24-inch-450x600-mm_canvas_wood-fsc-slim_4-0_ver,18x24-inch-450x600-mm,wood-fsc-slim,Size,18x24 in,Orientation,Portrait,Thickness,Slim
18x24 in - Portrait - Thick,18x24 in,Portrait,Thick,canvas_18x24-inch-450x600-mm_canvas_wood-fsc-thick_4-0_ver,18x24-inch-450x600-mm,wood-fsc-thick,Size,18x24 in,Orientation,Portrait,Thickness,Thick
24x24 in - Landscape - Slim,24x24 in,Landscape,Slim,canvas_24x24-inch-600x600-mm_canvas_wood-fsc-slim_4-0_hor,24x24-inch-600x600-mm,wood-fsc-slim,Size,24x24 in,Orientation,Landscape,Thickness,Slim
24x24 in - Landscape - Thick,24x24 in,Landscape,Thick,canvas_24x24-inch-600x600-mm_canvas_wood-fsc-thick_4-0_hor,24x24-inch-600x600-mm,wood-fsc-thick,Size,24x24 in,Orientation,Landscape,Thickness,Thick
20x30 in - Landscape - Slim,20x30 in,Landscape,Slim,canvas_20x30-inch-500x750-mm_canvas_wood-fsc-slim_4-0_hor,20x30-inch-500x750-mm,wood-fsc-slim,Size,20x30 in,Orientation,Landscape,Thickness,Slim
20x30 in - Landscape - Thick,20x30 in,Landscape,Thick,canvas_20x30-inch-500x750-mm_canvas_wood-fsc-thick_4-0_hor,20x30-inch-500x750-mm,wood-fsc-thick,Size,20x30 in,Orientation,Landscape,Thickness,Thick
20x30 in - Portrait - Slim,20x30 in,Portrait,Slim,canvas_20x30-inch-500x750-mm_canvas_wood-fsc-slim_4-0_ver,20x30-inch-500x750-mm,wood-fsc-slim,Size,20x30 in,Orientation,Portrait,Thickness,Slim
20x30 in - Portrait - Thick,20x30 in,Portrait,Thick,canvas_20x30-inch-500x750-mm_canvas_wood-fsc-thick_4-0_ver,20x30-inch-500x750-mm,wood-fsc-thick,Size,20x30 in,Orientation,Portrait,Thickness,Thick
24x36 in - Landscape - Slim,24x36 in,Landscape,Slim,canvas_24x36-inch-600x900-mm_canvas_wood-fsc-slim_4-0_hor,24x36-inch-600x900-mm,wood-fsc-slim,Size,24x36 in,Orientation,Landscape,Thickness,Slim
24x36 in - Landscape - Thick,24x36 in,Landscape,Thick,canvas_24x36-inch-600x900-mm_canvas_wood-fsc-thick_4-0_hor,24x36-inch-600x900-mm,wood-fsc-thick,Size,24x36 in,Orientation,Landscape,Thickness,Thick
24x36 in - Portrait - Slim,24x36 in,Portrait,Slim,canvas_24x36-inch-600x900-mm_canvas_wood-fsc-slim_4-0_ver,24x36-inch-600x900-mm,wood-fsc-slim,Size,24x36 in,Orientation,Portrait,Thickness,Slim
24x36 in - Portrait - Thick,24x36 in,Portrait,Thick,canvas_24x36-inch-600x900-mm_canvas_wood-fsc-thick_4-0_ver,24x36-inch-600x900-mm,wood-fsc-thick,Size,24x36 in,Orientation,Portrait,Thickness,Thick
